well,file_name,sample,phyto_particles,all_flor_Ch,all_flor_Sy,phyto_flor_Ch,phyto_flor_Sy,Live,wLive,L_particles,L_flor_Ch,L_flor_Sy,Dead,wDead,D_particles,D_flor_Ch,D_flor_Sy,Fr,wFr,Fr_particles,all_particles,Total,wTotal,row,col,time,Sample,Acclimated,Rep,Acute,WELL,Inc,Hobo,Ac_Temp,SD,Ac_group,wPhyto,log_wPhyto
E08,096Hr.csv,Specimen_005_E8_E08_046.fcs,1118,1423552.31022191,3062975.3225311,299968.265304565,596093.582305908,1546.58922030575,1566,1118,299968.265304565,596093.582305908,0,0,0,0,0,8178.7996070708105,4647,19933,21956,9725.38882737656,6213,E,08,4,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,1566,7.356918242356021
E08,048Hr.csv,Specimen_005_E8_E08_046.fcs,855,842780.147751927,1553183.10635692,232298.006011963,354156.301498413,1144.90124482199,1149,855,232298.006011963,354156.301498413,0,0,0,0,0,4672.92877465254,3181,10199,11759,5817.83001947453,4330,E,08,2,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,1149,7.047517221357296
E08,008Hr.csv,Specimen_005_E8_E08_046.fcs,80,291862.145941377,1299731.14934158,18915.1696472168,48947.4396972656,95.7845557546496,96,80,18915.1696472168,48947.4396972656,0,0,0,0,0,2497.47936512318,1191,7681,8464,2593.26392087783,1287,E,08,0.3333333333333333,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,96,4.574710978503383
E08,119Hr.csv,Specimen_005_E8_E08_046.fcs,1505,2302773.5082804,5639667.13914251,395117.273788452,914042.072662354,1763.06169418008,1805,1505,395117.273788452,914042.072662354,0,0,0,0,0,11381.2938037402,4939,34691,37724,13144.3554979202,6744,E,08,4.958333333333333,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,1805,7.498869733976931
E08,032Hr.csv,Specimen_005_E8_E08_046.fcs,383,336830.284959197,706980.962643206,103958.228210449,174748.590988159,510.260865660905,513,383,103958.228210449,174748.590988159,0,0,0,0,0,1710.02691703833,1071,3974,4775,2220.28778269924,1584,E,08,1.3333333333333333,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,513,6.2422232654551655
E08,024Hr.csv,Specimen_005_E8_E08_046.fcs,674,898589.377272725,2150039.70703036,165773.177154541,276151.680686951,856.258873230827,875,674,165773.177154541,276151.680686951,0,0,0,0,0,5896.71678619392,3807,13562,15392,6752.97565942474,4682,E,08,1,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,875,6.775366090936392
E08,072Hr.csv,Specimen_005_E8_E08_046.fcs,1791,1990929.97117817,3919679.11492515,485463.841812134,830211.932556152,2158.47146860958,2204,1791,485463.841812134,830211.932556152,0,0,0,0,0,9982.72418875943,5333,24965,27929,12141.195657369,7537,E,08,3,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,2204,7.6984827878809465
E08,000Hr.csv,Specimen_005_E8_E08_046.fcs,86,484847.073734045,2778112.41644901,19088.7197265625,65476.1793518066,102.382920773947,104,86,19088.7197265625,65476.1793518066,0,0,0,0,0,4359.75815045081,1855,14651,15859,4462.14107122476,1959,E,08,0,25_B_22,25,B,22,E8,26,879,22.28,0.2865865,25,104,4.653960350157523
A08,096Hr.csv,Specimen_002_A8_A08_006.fcs,695,1425934.84027874,2996818.57041723,190637.107086182,411801.351715088,887.821916091787,892,694,190225.037078857,411389.281707764,3.89362859947506,4,1,412.070007324219,36189.1796875,8249.64767101213,3944,21624,23198,9141.3632157034,4840,A,08,4,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,896,6.799055862058796
A08,048Hr.csv,Specimen_002_A8_A08_006.fcs,460,671806.699915409,1202824.08429116,149155.097427368,267389.101501465,740.685794652502,754,460,149155.097427368,267389.101501465,0,0,0,0,0,3925.92866727213,3310,7732,8564,4666.61446192464,4064,A,08,2,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,754,6.626717749249025
A08,000Hr.csv,Specimen_002_A8_A08_006.fcs,638,515055.452541232,2851032.55434817,204332.4269104,743438.233154297,883.458609284703,883,638,204332.4269104,743438.233154297,0,0,0,0,0,2361.41522752046,1135,7468,8894,3244.87383680516,2018,A,08,0,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,883,6.784457062637643
A08,072Hr.csv,Specimen_002_A8_A08_006.fcs,1180,1755540.10488653,3254507.92088616,347734.564575195,665527.872177124,1846.46754805817,1857,1179,346974.504577637,664767.812179565,5.76376087042105,6,1,760.059997558594,6849.35986328125,10883.4711838745,9034,21669,23699,12735.7024928031,10897,A,08,3,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,1863,7.530479995245536
A08,119Hr.csv,Specimen_002_A8_A08_006.fcs,672,1937384.90322995,4186545.76578635,171768.217437744,400485.061233521,910.275337465508,916,672,171768.217437744,400485.061233521,0,0,0,0,0,12825.517034783,6338,33371,35652,13735.7923722485,7254,A,08,4.958333333333333,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,916,6.821107472256465
A08,024Hr.csv,Specimen_002_A8_A08_006.fcs,1028,1020441.05529881,2514292.65886277,317798.524719238,676251.182220459,1520.26797117544,1538,1028,317798.524719238,676251.182220459,0,0,0,0,0,5212.9710233878,3327,12389,14451,6733.23899456324,4865,A,08,1,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,1538,7.338888133838879
A08,008Hr.csv,Specimen_002_A8_A08_006.fcs,218,193171.827189326,774450.63275826,69466.2788543701,201255.058151245,282.972987386463,285,218,69466.2788543701,201255.058151245,0,0,0,0,0,866.388411000218,389,2757,3397,1149.36139838668,674,A,08,0.3333333333333333,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,285,5.655991810819852
A08,032Hr.csv,Specimen_002_A8_A08_006.fcs,477,491264.863175273,1083251.07371783,156753.027618408,316428.121238708,688.855359951297,683,477,156753.027618408,316428.121238708,0,0,0,0,0,2305.10575803037,1568,5424,6370,2993.96111798167,2251,A,08,1.3333333333333333,22_A_22,22,A,22,A8,26,879,22.28,0.2865865,22,683,6.52795791762255
D02,072Hr.csv,Specimen_005_D2_D02_030.fcs,0,9596.86986398697,3609829.00079894,0,0,0,0,0,0,0,0,0,0,0,0,2391.47413998725,587,9554,12444,2391.47413998725,587,D,02,3,25_A_35,25,A,35,D2,24,645,34.99,0.5328178,25,0,0
D02,119Hr.csv,Specimen_005_D2_D02_030.fcs,1,5290.15990328789,2479036.59825772,732.469970703125,1875.15002441406,2.35039096035434,2,1,732.469970703125,1875.15002441406,0,0,0,0,0,1850.20200876585,348,7912,10505,1852.55239972621,350,D,02,4.958333333333333,25_A_35,25,A,35,D2,24,645,34.99,0.5328178,25,2,1.0986122886681098
D02,000Hr.csv,Specimen_005_D2_D02_030.fcs,80,1021854.37699342,4452347.4012655,18289.4996490479,59514.7793273926,100.13379924164,101,80,18289.4996490479,59514.7793273926,0,0,0,0,0,10358.6478495587,3556,39530,49593,10458.7816488004,3657,D,02,0,25_A_35,25,A,35,D2,24,645,34.99,0.5328178,25,101,4.624972813284271
D02,008Hr.csv,Specimen_005_D2_D02_030.fcs,19,298305.746287346,6127745.96658456,4240.84992980957,43856.0595703125,19.3586179368189,18,19,4240.84992980957,43856.0595703125,0,0,0,0,0,3179.16380881782,907,16418,19328,3198.52242675464,925,D,02,0.3333333333333333,25_A_35,25,A,35,D2,24,645,34.99,0.5328178,25,18,2.9444389791664403
D02,048Hr.csv,Specimen_005_D2_D02_030.fcs,0,7577.45988082886,2291381.46559036,0,0,0,0,0,0,0,0,0,0,0,0,1480.22626932353,406,5823,7551,1480.22626932353,406,D,02,2,25_A_35,25,A,35,D2,24,645,34.99,0.5328178,25,0,0
